								
Number of families	1							
Number of comparisons per family	6							
Alpha	0.05							
								
Tukey's multiple comparisons test	Mean Diff.	95.00% CI of diff.	Below threshold?	Summary	Adjusted P Value			
  Z001 vs. Z001B	0.007500	-0.002089 to 0.01709	No	ns	0.1775	A-B		
  Z001 vs. Z003	-0.01265	-0.02224 to -0.003061	Yes	**	0.0047	A-C		
  Z001 vs. Z004	0.1825	0.1729 to 0.1921	Yes	****	<0.0001	A-D		
  Z001B vs. Z003	-0.02015	-0.02974 to -0.01056	Yes	****	<0.0001	B-C		
  Z001B vs. Z004	0.1750	0.1654 to 0.1846	Yes	****	<0.0001	B-D		
  Z003 vs. Z004	0.1952	0.1856 to 0.2047	Yes	****	<0.0001	C-D		
								
Test details	Mean 1	Mean 2	Mean Diff.	SE of diff.	n1	n2	q	DF
  Z001 vs. Z001B	0.3749	0.3674	0.007500	0.003650	20	20	2.906	76
  Z001 vs. Z003	0.3749	0.3875	-0.01265	0.003650	20	20	4.901	76
  Z001 vs. Z004	0.3749	0.1924	0.1825	0.003650	20	20	70.71	76
  Z001B vs. Z003	0.3674	0.3875	-0.02015	0.003650	20	20	7.807	76
  Z001B vs. Z004	0.3674	0.1924	0.1750	0.003650	20	20	67.80	76
  Z003 vs. Z004	0.3875	0.1924	0.1952	0.003650	20	20	75.61	76
								
Compact letter display								
  Z003	A							
  Z001	B							
  Z001B	B							
  Z004	C							
